,Mkt-RF,SMB,HML,RMW,CMA,RF
2017-09-11,1.08,-0.08,0.63,-0.33,-0.11,0.005
2017-09-12,0.43,0.35,0.71,0.11,0.18,0.005
2017-09-13,0.11,0.31,0.36,-0.33,0.09,0.005
2017-09-14,-0.12,-0.05,-0.07,-0.32,0.23,0.005
2017-09-15,0.19,0.24,0.12,0.3,0,0.005
2017-09-18,0.24,0.41,0.2,-0.47,0.21,0.005
2017-09-19,0.15,-0.21,0.35,0.02,0.07,0.005
2017-09-20,0.16,0.29,0.52,-0.18,0.31,0.005
2017-09-21,-0.28,0.17,0.37,-0.02,-0.08,0.005
2017-09-22,0.12,0.43,0.12,0.36,0.28,0.005
2017-09-25,-0.25,0.35,0.63,-0.26,0.65,0.005
2017-09-26,0.05,0.45,0.13,0.59,-0.12,0.005
2017-09-27,0.63,1.41,0.17,-0.25,-0.53,0.005
2017-09-28,0.13,0.15,-0.07,-0.11,-0.2,0.005
2017-09-29,0.35,-0.12,-0.28,-0.06,-0.35,0.005
2017-10-02,0.5,0.87,0.16,-0.19,0.26,0.004
2017-10-03,0.26,-0.03,-0.02,-0.04,-0.1,0.004
2017-10-04,0.05,-0.35,-0.45,-0.11,0,0.004
2017-10-05,0.55,-0.31,0.35,-0.28,-0.17,0.004
2017-10-06,-0.08,-0.1,-0.25,0.18,-0.36,0.004
2017-10-09,-0.22,-0.3,-0.05,0.1,-0.18,0.004
2017-10-10,0.24,0.01,0.41,0.09,0.08,0.004
2017-10-11,0.16,-0.26,-0.22,-0.1,-0.07,0.004
2017-10-12,-0.18,-0.1,-0.51,0.18,0.11,0.004
2017-10-13,0.04,-0.27,0.11,0.19,-0.01,0.004
2017-10-16,0.17,-0.27,0.37,0,-0.08,0.004
2017-10-17,0.01,-0.34,-0.27,0.35,-0.18,0.004
2017-10-18,0.14,0.35,0.21,0.36,-0.14,0.004
2017-10-19,0.02,-0.34,0.17,0.12,0.04,0.004
2017-10-20,0.57,0.02,0.28,0.12,0.04,0.004
